id,loc,vg,evg,ivg,n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
36,64,8,1,8,198,1174.29,0.04,22.28,52.7,26165.5,0.39,1453.64,48,73,16,32,22,39,119,79,12,TRUE
37,110,25,21,9,663,4404.88,0.02,45.1,97.66,198677.1,1.47,11037.62,97,23,13,37,23,77,361,302,49,TRUE
38,58,6,1,3,314,1961.85,0.05,20,98.09,39236.98,0.65,2179.83,58,17,0,18,16,60,164,150,11,TRUE
39,167,26,1,23,671,4888.5,0.04,22.35,218.7,109272.46,1.63,6070.69,166,49,1,39,20,136,367,304,51,TRUE
40,60,12,4,7,183,1080.96,0.04,26.43,40.9,28568.25,0.36,1587.13,58,0,2,13,25,35,109,74,16,TRUE
41,14,3,1,1,46,218.72,0.08,12.5,17.5,2734.06,0.07,151.89,13,3,1,2,15,12,26,20,5,TRUE
42,15,1,1,1,53,232.79,0.26,3.91,59.59,909.35,0.08,50.52,13,7,2,8,5,16,28,25,1,TRUE
43,120,7,3,4,1002,7090.97,0.02,59.93,118.33,424927.99,2.36,23607.11,120,42,0,36,28,107,544,458,13,TRUE
44,28,6,1,5,86,477.69,0.07,13.73,34.79,6559.11,0.16,364.4,28,0,0,7,21,26,52,34,8,TRUE
45,64,12,8,7,368,2358.66,0.03,36.58,64.48,86270.84,0.79,4792.82,54,18,10,80,26,59,202,166,23,TRUE
46,61,7,1,4,304,1893.56,0.05,19.66,96.31,37229.33,0.63,2068.3,49,0,12,11,16,59,159,145,13,TRUE
47,3,1,1,1,10,33.22,0.33,3,11.07,99.66,0.01,5.54,3,0,0,1,6,4,6,4,1,TRUE
48,141,24,9,18,657,4553.49,0.02,51.91,87.72,236376.96,1.52,13132.05,141,50,0,56,32,90,365,292,36,TRUE
49,6,1,1,1,30,139.32,0.15,6.5,21.43,905.55,0.05,50.31,6,1,0,7,13,12,18,12,1,TRUE
50,93,17,4,12,409,2680.83,0.03,38.18,70.21,102358.84,0.89,5686.6,93,27,0,31,28,66,229,180,24,TRUE
51,6,1,1,1,30,139.32,0.15,6.5,21.43,905.55,0.05,50.31,6,1,0,7,13,12,18,12,1,TRUE
52,31,7,4,4,108,603.18,0.07,14.1,42.78,8504.78,0.2,472.49,28,1,3,9,18,30,61,47,13,TRUE
53,153,25,6,13,841,5942.58,0.02,61.92,95.98,367939.9,1.98,20441.11,153,55,0,55,33,101,462,379,40,TRUE
54,63,17,9,7,429,2843.99,0.03,32,88.87,91007.81,0.95,5055.99,57,6,6,5,24,75,229,200,33,TRUE
55,106,29,20,5,539,3676.08,0.03,39.86,92.23,146524.08,1.23,8140.23,106,39,0,32,28,85,297,242,57,TRUE
56,23,5,4,3,113,650.3,0.05,20.26,32.1,13174.23,0.22,731.9,21,8,2,9,25,29,66,47,9,TRUE
57,29,5,5,5,164,920.81,0.05,20.61,44.67,18980.62,0.31,1054.48,29,9,0,7,18,31,93,71,9,TRUE
58,84,9,1,3,876,6498.04,0.02,46.39,140.08,301439.38,2.17,16746.63,84,20,0,27,31,140,457,419,17,TRUE
59,17,1,1,1,102,550.02,0.07,13.54,40.63,7446.38,0.18,413.69,16,9,1,12,16,26,58,44,1,TRUE
60,6,1,1,1,11,34.87,0.5,2,17.43,69.74,0.01,3.87,6,0,0,0,4,5,6,5,1,TRUE
61,15,4,3,2,86,457.69,0.07,14.73,31.08,6740.46,0.15,374.47,14,5,1,7,18,22,50,36,7,TRUE
62,29,5,5,5,146,815.4,0.05,18.6,43.84,15166.52,0.27,842.58,29,7,0,5,18,30,84,62,9,TRUE
63,5,1,1,1,11,34.87,0.5,2,17.43,69.74,0.01,3.87,5,0,0,0,4,5,6,5,1,TRUE
64,15,3,1,3,53,249.12,0.13,7.7,32.35,1918.25,0.08,106.57,15,0,0,9,11,15,32,21,5,TRUE
65,5,1,1,1,11,34.87,0.5,2,17.43,69.74,0.01,3.87,5,0,0,0,4,5,6,5,1,TRUE
66,6,1,1,1,11,34.87,0.5,2,17.43,69.74,0.01,3.87,6,0,0,0,4,5,6,5,1,TRUE
67,23,4,1,4,101,548.05,0.08,11.79,46.5,6459.19,0.18,358.84,23,0,0,12,15,28,57,44,7,TRUE
68,5,1,1,1,11,34.87,0.5,2,17.43,69.74,0.01,3.87,5,0,0,0,4,5,6,5,1,TRUE
69,5,1,1,1,11,34.87,0.5,2,17.43,69.74,0.01,3.87,5,0,0,0,4,5,6,5,1,TRUE
70,43,9,7,7,186,1084.92,0.07,13.35,81.27,14482.39,0.36,804.58,43,1,0,16,14,43,104,82,17,TRUE
71,14,4,1,2,69,353.92,0.09,10.88,32.54,3848.89,0.12,213.83,12,7,2,4,15,20,40,29,7,TRUE
72,16,5,1,2,90,482.18,0.08,12.16,39.65,5863.3,0.16,325.74,13,4,3,3,16,25,52,38,9,TRUE
73,3,1,1,1,18,68.53,0.22,4.5,15.23,308.4,0.02,17.13,3,0,0,2,9,5,13,5,1,TRUE
74,24,4,1,1,116,585.15,0.06,16,36.57,9362.4,0.2,520.13,19,6,5,7,12,21,60,56,7,TRUE
75,17,4,1,1,79,391.38,0.08,12.28,31.88,4805.3,0.13,266.96,15,6,2,8,13,18,45,34,7,TRUE
76,6,1,1,1,11,34.87,0.5,2,17.43,69.74,0.01,3.87,6,0,0,0,4,5,6,5,1,TRUE
77,27,7,1,4,94,506.88,0.05,21.45,23.63,10872.53,0.17,604.03,27,4,0,20,22,20,55,39,12,TRUE
78,6,1,1,1,11,34.87,0.5,2,17.43,69.74,0.01,3.87,6,0,0,0,4,5,6,5,1,TRUE
79,10,1,1,1,25,97.67,0.27,3.67,26.64,358.13,0.03,19.9,8,2,2,6,6,9,14,11,1,FALSE
80,29,6,1,3,79,398.51,0.08,12.92,30.85,5147.38,0.13,285.97,29,2,0,21,15,18,48,31,8,FALSE
81,8,2,1,1,11,33,0.22,4.5,7.33,148.5,0.01,8.25,6,3,2,2,6,2,8,3,3,FALSE
82,108,22,5,17,464,3215.86,0.03,33.04,97.32,106264.81,1.07,5903.6,107,35,1,43,31,91,270,194,39,FALSE
83,14,7,1,2,82,430.33,0.07,14.55,29.59,6259.35,0.14,347.74,14,0,0,1,16,22,42,40,13,FALSE
84,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,FALSE
85,13,4,1,3,42,181.52,0.08,12.75,14.24,2314.39,0.06,128.58,13,0,0,2,12,8,25,17,7,FALSE
86,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,FALSE
87,56,1,1,1,327,2078.92,0.02,44.27,46.96,92035.5,0.69,5113.08,49,1,7,2,34,48,202,125,29,FALSE
88,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
89,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
90,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
91,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
92,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
93,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
94,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
95,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
96,7,1,1,1,31,129.27,0.24,4.14,31.25,534.7,0.04,29.71,7,9,0,5,7,11,18,13,1,FALSE
97,9,2,1,1,30,120,0.24,4.2,28.57,504,0.04,28,9,2,0,2,6,10,16,14,3,FALSE
98,10,1,1,1,35,153.73,0.17,5.91,26.02,908.41,0.05,50.47,10,15,0,11,10,11,22,13,1,FALSE
99,7,1,1,1,31,129.27,0.24,4.14,31.25,534.7,0.04,29.71,7,9,0,5,7,11,18,13,1,FALSE
100,9,2,1,1,30,120,0.24,4.2,28.57,504,0.04,28,9,2,0,2,6,10,16,14,3,FALSE
101,14,1,1,1,68,343.02,0.13,7.43,46.18,2548.14,0.11,141.56,14,19,0,18,12,21,42,26,1,FALSE
102,11,3,1,1,57,264.7,0.11,9.33,28.36,2470.53,0.09,137.25,11,2,0,7,10,15,29,28,5,FALSE
103,19,5,1,5,66,320.63,0.09,11.67,27.48,3740.65,0.11,207.81,17,5,2,14,14,15,41,25,9,FALSE
104,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
105,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
106,14,2,1,2,61,293.25,0.13,7.78,37.7,2280.82,0.1,126.71,14,8,0,9,10,18,33,28,3,FALSE
107,4,1,1,1,11,34.87,0.4,2.5,13.95,87.17,0.01,4.84,4,2,0,1,5,4,7,4,1,FALSE
108,4,1,1,1,11,34.87,0.4,2.5,13.95,87.17,0.01,4.84,4,3,0,3,5,4,7,4,1,FALSE
109,11,1,1,1,38,152,0.14,7,21.71,1064,0.05,59.11,10,6,1,5,8,8,24,14,1,FALSE
110,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
111,6,2,1,2,20,76.15,0.15,6.67,11.42,507.65,0.03,28.2,6,0,0,0,8,6,10,10,3,FALSE
112,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,FALSE
113,6,1,1,1,15,45,0.56,1.8,25,81,0.02,4.5,6,0,0,1,3,5,9,6,1,FALSE
114,14,2,1,2,50,232.19,0.11,9.21,25.22,2138.11,0.08,118.78,14,0,0,5,13,12,33,17,3,FALSE
115,17,6,1,3,71,316.62,0.05,21.67,14.61,6860.09,0.11,381.12,17,0,0,1,13,9,41,30,11,FALSE
116,36,7,5,7,154,882.1,0.06,15.94,55.33,14063.19,0.29,781.29,35,9,1,23,18,35,92,62,13,FALSE
117,49,10,7,7,168,1022.69,0.05,21.36,47.89,21841.82,0.34,1213.43,43,11,6,30,26,42,99,69,18,FALSE
118,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
119,40,9,5,7,165,974.64,0.04,23.21,41.98,22625.5,0.32,1256.97,36,2,4,16,25,35,100,65,15,FALSE
120,7,2,1,1,10,28.07,0.5,2,14.04,56.15,0.01,3.12,7,0,0,5,4,3,7,3,3,FALSE
121,76,14,5,8,227,1426.79,0.04,25.15,56.74,35879.48,0.48,1993.3,67,17,9,18,27,51,132,95,25,FALSE
122,19,2,1,2,90,478.97,0.08,12.67,37.81,6067,0.16,337.06,18,3,1,16,16,24,52,38,3,FALSE
123,15,3,1,3,48,228.23,0.16,6.18,36.95,1409.68,0.08,78.32,15,15,0,7,10,17,27,21,5,FALSE
124,10,3,1,1,31,142.13,0.09,10.83,13.12,1539.78,0.05,85.54,10,0,0,2,15,9,18,13,5,FALSE
125,10,1,1,1,37,167.37,0.14,7.09,23.6,1186.82,0.06,65.93,10,19,0,11,12,11,24,13,1,FALSE
126,15,3,1,3,48,228.23,0.16,6.18,36.95,1409.68,0.08,78.32,15,15,0,7,10,17,27,21,5,FALSE
127,10,3,1,1,31,142.13,0.09,10.83,13.12,1539.78,0.05,85.54,10,0,0,2,15,9,18,13,5,FALSE
128,9,1,1,1,31,131.69,0.16,6.11,21.55,804.75,0.04,44.71,9,15,0,15,10,9,20,11,1,FALSE
129,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
130,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
131,57,9,1,9,211,1330.1,0.04,22.33,59.57,29696.99,0.44,1649.83,57,19,0,25,27,52,125,86,13,FALSE
132,36,9,5,5,112,618.64,0.08,12,51.55,7423.67,0.21,412.43,28,6,8,14,16,30,67,45,17,FALSE
133,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
134,9,1,1,1,24,93.77,0.17,6,15.63,562.59,0.03,31.26,9,0,0,1,9,6,16,8,1,FALSE
135,8,1,1,1,14,42,0.3,3.33,12.6,140,0.01,7.78,7,4,1,4,5,3,10,4,1,FALSE
136,14,2,1,2,35,148.68,0.21,4.73,31.45,702.84,0.05,39.05,14,4,0,7,8,11,22,13,3,FALSE
137,4,1,1,1,15,53.77,0.29,3.5,15.36,188.21,0.02,10.46,4,0,0,0,6,6,8,7,1,FALSE
138,36,10,1,6,151,856.54,0.07,14.58,58.73,12491.15,0.29,693.95,36,0,0,3,15,36,81,70,19,FALSE
139,3,1,1,1,11,34.87,0.5,2,17.43,69.74,0.01,3.87,3,0,0,1,4,5,6,5,1,FALSE
140,10,2,1,2,29,120.93,0.15,6.5,18.6,786.03,0.04,43.67,10,0,0,0,9,9,16,13,3,FALSE
141,8,2,1,2,41,192.72,0.1,9.92,19.43,1911.12,0.06,106.17,8,0,0,0,14,12,24,17,3,FALSE
142,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
143,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
144,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
145,51,14,9,11,245,1496.59,0.05,21.88,68.42,32737.87,0.5,1818.77,51,10,0,28,21,48,145,100,27,FALSE
146,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
147,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
148,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
149,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
150,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
151,7,1,1,1,28,114.45,0.24,4.2,27.25,480.69,0.04,26.7,7,9,0,6,7,10,16,12,1,FALSE
152,18,5,1,5,87,387.97,0.05,19,20.42,7371.44,0.13,409.52,18,5,0,7,11,11,49,38,6,FALSE
153,9,1,1,1,31,131.69,0.16,6.11,21.55,804.75,0.04,44.71,9,16,0,10,10,9,20,11,1,FALSE
154,7,1,1,1,28,114.45,0.24,4.2,27.25,480.69,0.04,26.7,7,9,0,6,7,10,16,12,1,FALSE
155,3,1,1,1,12,41.51,0.29,3.5,11.86,145.3,0.01,8.07,3,0,0,1,7,4,8,4,1,FALSE
156,10,1,1,1,37,167.37,0.14,7.09,23.6,1186.82,0.06,65.93,10,19,0,11,12,11,24,13,1,FALSE
157,35,7,5,7,148,843.67,0.06,15.62,54.02,13176.06,0.28,732,34,5,1,22,18,34,89,59,13,FALSE
158,23,6,5,4,85,446.07,0.1,9.92,44.98,4423.57,0.15,245.75,22,5,1,13,14,24,51,34,11,FALSE
159,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
160,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
161,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
162,63,11,5,6,267,1692.74,0.03,33.53,50.49,56756.57,0.56,3153.14,63,10,0,31,30,51,153,114,16,FALSE
163,22,3,1,2,55,241.58,0.12,8.64,27.97,2086.35,0.08,115.91,17,9,5,7,10,11,36,19,5,FALSE
164,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
165,8,3,1,3,48,214.05,0.08,12,17.84,2568.63,0.07,142.7,8,0,0,0,11,11,24,24,5,FALSE
166,142,73,15,60,1061,8015.42,0.02,60.04,133.5,481241.52,2.67,26735.64,139,0,3,8,36,152,554,507,143,FALSE
167,58,72,70,71,483,2980.07,0.03,33.23,89.69,99019.72,0.99,5501.1,58,0,0,2,17,55,268,215,143,FALSE
168,22,14,9,1,102,500.5,0.03,31.95,15.66,15993.34,0.17,888.52,21,4,1,4,19,11,65,37,27,FALSE
169,29,8,6,6,141,765.1,0.04,26.96,28.38,20624.52,0.26,1145.81,29,0,0,1,20,23,79,62,15,FALSE
170,44,6,1,3,202,1183.31,0.06,16.4,72.17,19400.82,0.39,1077.82,44,15,0,15,15,43,108,94,11,FALSE
171,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
172,5,1,1,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,5,0,0,1,4,3,4,3,1,FALSE
173,7,1,1,1,28,114.45,0.24,4.2,27.25,480.69,0.04,26.7,7,9,0,6,7,10,16,12,1,FALSE
174,8,1,1,1,25,97.67,0.18,5.71,17.09,558.13,0.03,31.01,8,9,0,5,8,7,15,10,1,FALSE
175,16,1,1,1,54,244.27,0.12,8.08,30.24,1972.97,0.08,109.61,16,12,0,11,10,13,33,21,1,FALSE
176,7,1,1,1,28,114.45,0.24,4.2,27.25,480.69,0.04,26.7,7,9,0,6,7,10,16,12,1,FALSE
177,8,1,1,1,25,97.67,0.18,5.71,17.09,558.13,0.03,31.01,8,9,0,5,8,7,15,10,1,FALSE
178,9,1,1,1,31,131.69,0.16,6.11,21.55,804.75,0.04,44.71,9,16,0,10,10,9,20,11,1,FALSE
179,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
180,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,FALSE
181,3,1,1,1,29,118.54,0.16,6.43,18.44,762.02,0.04,42.33,3,0,0,1,10,7,20,9,1,FALSE
182,3,1,1,1,4,8,0.67,1.5,5.33,12,0,0.67,3,0,0,0,3,1,3,1,1,FALSE
183,23,3,1,3,100,495.42,0.08,13.2,37.53,6539.54,0.17,363.31,23,2,0,7,11,20,52,48,5,FALSE
184,14,2,1,2,63,272.28,0.07,15,18.15,4084.22,0.09,226.9,14,0,0,2,10,10,33,30,3,FALSE
185,3,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,3,0,0,0,3,2,3,2,1,FALSE
186,0,1,1,1,5,11.61,0.5,2,5.8,23.22,0,1.29,0,0,0,0,4,1,4,1,1,FALSE
187,27,8,1,8,127,713.07,0.04,22.41,31.82,15978.01,0.24,887.67,27,0,0,2,22,27,72,55,15,FALSE
188,18,5,3,3,97,512.67,0.05,18.86,27.19,9667.76,0.17,537.1,18,3,0,9,18,21,53,44,9,FALSE
189,53,3,3,2,296,1907.11,0.06,16.76,113.81,31957.74,0.64,1775.43,51,26,2,48,17,70,158,138,5,FALSE
190,253,33,13,27,1054,8002.45,0.01,72.75,109.99,582205.62,2.67,32344.76,218,159,35,17,47,146,602,452,51,FALSE
191,11,2,1,2,40,180.94,0.15,6.87,26.32,1243.98,0.06,69.11,11,14,0,7,11,12,25,15,3,FALSE
192,10,1,1,1,39,162.63,0.17,5.73,28.4,931.41,0.05,51.74,10,9,0,7,7,11,21,18,1,FALSE
193,17,1,1,1,60,285.29,0.1,10.21,27.93,2914.07,0.1,161.89,17,18,0,11,13,14,38,22,1,FALSE
194,11,2,1,2,40,180.94,0.15,6.87,26.32,1243.98,0.06,69.11,11,14,0,7,11,12,25,15,3,FALSE
195,10,1,1,1,39,162.63,0.17,5.73,28.4,931.41,0.05,51.74,10,9,0,7,7,11,21,18,1,FALSE
196,15,1,1,1,48,210.83,0.12,8.18,25.77,1724.98,0.07,95.83,15,12,0,14,10,11,30,18,1,FALSE
197,19,3,1,3,134,727.12,0.09,10.84,67.09,7881.04,0.24,437.84,19,0,0,3,12,31,78,56,5,FALSE
198,28,2,1,2,175,955.4,0.07,14.63,65.33,13972.73,0.32,776.26,26,0,2,10,12,32,97,78,3,FALSE
199,4,1,1,1,11,34.87,0.4,2.5,13.95,87.17,0.01,4.84,4,2,0,1,5,4,7,4,1,FALSE
200,4,1,1,1,12,39.86,0.33,3,13.29,119.59,0.01,6.64,2,3,2,1,6,4,8,4,1,FALSE
201,62,6,1,5,268,1703.82,0.04,25.45,66.95,43359.38,0.57,2408.85,59,6,3,16,24,58,145,123,11,FALSE
202,3,2,1,2,5,11.61,0.5,2,5.8,23.22,0,1.29,3,0,0,1,4,1,4,1,3,FALSE
203,0,1,1,1,5,11.61,0.5,2,5.8,23.22,0,1.29,0,0,0,0,4,1,4,1,1,FALSE
204,13,3,1,3,50,219.62,0.09,10.91,20.13,2395.81,0.07,133.1,13,1,0,2,10,11,26,24,5,FALSE
205,16,2,1,2,185,1003.86,0.06,16.47,60.96,16530.21,0.33,918.35,16,8,0,10,13,30,109,76,3,FALSE
206,5,1,1,1,12,39.86,0.21,4.67,8.54,186.03,0.01,10.33,5,0,0,2,7,3,8,4,1,FALSE
207,15,3,1,2,45,200.67,0.1,10.5,19.11,2107.08,0.07,117.06,14,0,1,2,11,11,24,21,5,FALSE
208,91,16,7,10,424,2581.08,0.02,58.5,44.12,150993.43,0.86,8388.52,83,19,8,42,26,42,235,189,24,FALSE
209,26,5,1,5,86,460.75,0.09,10.67,43.17,4917.61,0.15,273.2,26,18,0,14,15,26,49,37,9,FALSE
210,11,1,1,1,44,196.21,0.25,3.94,49.83,772.6,0.07,42.92,10,15,1,11,6,16,23,21,1,FALSE
211,16,1,1,1,54,244.27,0.11,9.17,26.65,2239.16,0.08,124.4,16,15,0,12,11,12,34,20,1,FALSE
212,26,5,1,5,86,460.75,0.09,10.67,43.17,4917.61,0.15,273.2,26,18,0,14,15,26,49,37,9,FALSE
213,11,1,1,1,44,193.26,0.24,4.2,46.01,811.7,0.06,45.09,10,15,1,13,6,15,23,21,1,FALSE
214,17,1,1,1,60,285.29,0.1,10.21,27.93,2914.07,0.1,161.89,17,18,0,11,13,14,38,22,1,FALSE
215,20,9,9,4,115,616.12,0.05,19.57,31.49,12054.49,0.21,669.69,20,5,0,11,18,23,65,50,17,FALSE
216,23,3,3,3,107,557.41,0.06,16.37,34.03,9130.93,0.19,507.27,22,1,1,3,16,21,64,43,5,FALSE
217,30,7,5,5,124,688.77,0.07,13.68,50.36,9420.58,0.23,523.37,29,0,1,11,16,31,71,53,13,FALSE
218,29,6,5,2,159,873.2,0.04,24,36.38,20956.91,0.29,1164.27,29,6,0,9,18,27,87,72,11,FALSE
219,8,1,1,1,25,97.67,0.27,3.67,26.64,358.13,0.03,19.9,6,2,2,1,6,9,14,11,1,FALSE
220,8,2,1,1,27,114.69,0.15,6.67,17.2,764.63,0.04,42.48,8,0,0,0,10,9,15,12,3,FALSE
221,43,13,3,9,176,1047.94,0.05,20.63,50.81,21613.73,0.35,1200.76,43,0,0,1,22,40,101,75,19,FALSE
222,45,12,1,5,221,1359.09,0.03,28.6,47.52,38870.09,0.45,2159.45,43,2,2,4,26,45,122,99,20,FALSE
223,21,8,4,2,83,411.2,0.04,26.13,15.74,10742.56,0.14,596.81,20,1,1,4,19,12,50,33,15,FALSE
224,3,1,1,1,19,63.12,0.33,3,21.04,189.35,0.02,10.52,3,0,0,0,4,6,10,9,1,FALSE
